,filter,benchmark,noise_level,information_retention,jaccard,degree_assortativity,average_clustering,average_shortest_path_length,density,average_degree_connectivity,transitivity,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,filename,weighted
0,,,,0.02270389674848823,0.5,0.9043622056439767,0.9579317223984931,,0.9809560823940924,0.9288193253976157,1.0324072576732755,,,,,,,,barabasi_albert_graph100,False
1,,,0.1,0.17314855812481061,0.47572815533980584,0.7847046914350807,0.9714105767523676,,0.9828993392926544,1.0037410179698611,1.0181512605042018,98,11,10,98,0.9074074074074074,0.5,0.6447368421052632,barabasi_albert_graph100,False
2,,,0.2,0.1717639412660293,0.45871559633027525,0.9730840428796964,0.9476799939317967,,0.9856198989506412,0.8593361152410643,1.0316723155693373,100,27,22,96,0.819672131147541,0.5102040816326531,0.6289308176100629,barabasi_albert_graph100,False
3,,,0.3,0.07435435648432963,0.4117647058823529,1.1520527882365184,0.9203232135392261,,0.9891177613680527,0.8759540385579262,1.0516403148290034,98,42,42,98,0.7,0.5,0.5833333333333334,barabasi_albert_graph100,False
4,,,0.4,0.0985847685193344,0.37547892720306514,1.1913320895190125,0.9315730951927277,,0.9935872522347455,0.9276546944633539,1.0854037267080745,98,65,65,98,0.6012269938650306,0.5,0.5459610027855153,barabasi_albert_graph100,False
5,,,0.5,0.2514212104635063,0.35172413793103446,1.1208411559304163,0.96401094056944,,1.0,1.0547589063435427,1.0879961839442032,102,102,94,94,0.5204081632653061,0.5204081632653061,0.5204081632653061,barabasi_albert_graph100,False
6,,,0.1,0.10190995806787322,0.2755102040816326,0.8280093000146895,0.919134684530379,,0.9724057520404198,0.6830356828177495,1.067688339276231,54,10,0,44,1.0,0.5510204081632653,0.7105263157894737,barabasi_albert_graph100,False
7,,,0.2,0.016453062534481276,0.29797979797979796,0.7651860599829593,0.9221798250741501,,0.9737660318694131,0.7485047177509644,1.060108043217287,59,22,2,39,0.9672131147540983,0.6020408163265306,0.7421383647798742,barabasi_albert_graph100,False
8,,,0.3,0.06556831339776752,0.28502415458937197,0.8142886822646037,0.9076222147031023,,0.975514963078119,0.8146597479918456,1.0577433966105145,59,30,11,40,0.8428571428571429,0.5959595959595959,0.6982248520710059,barabasi_albert_graph100,False
9,,,0.4,0.09463027223795775,0.28837209302325584,0.9848140559150343,0.9186829129902501,,0.977652545666537,0.8151637266766005,1.0767059246606132,62,45,19,37,0.7654320987654321,0.6262626262626263,0.6888888888888889,barabasi_albert_graph100,False
10,,,0.5,0.07280161617186812,0.2564102564102564,1.1699879652267398,0.9170302973943528,,0.9809560823940924,0.8452256621968905,1.1056443556443556,60,59,38,39,0.6122448979591837,0.6060606060606061,0.6091370558375635,barabasi_albert_graph100,False
11,,,,0.15341525975494802,0.5,0.9290786918130862,0.8739348076116974,,0.9809560823940924,0.5613316830539241,0.9651444736310366,,,,,,,,barabasi_albert_graph100,False
12,,,0.1,0.21280330070976008,0.4950980392156863,1.0331510688498151,0.9328925955006129,,0.9830936649825107,0.6346297990793757,1.004515306122449,101,13,8,95,0.926605504587156,0.5153061224489796,0.6622950819672131,barabasi_albert_graph100,False
13,,,0.2,0.20425706395402815,0.4369369369369369,1.0653595740880246,0.892037691898305,,0.9858142246404975,0.5895695178345293,0.9856729736428985,97,23,26,99,0.7886178861788617,0.49489795918367346,0.6081504702194357,barabasi_albert_graph100,False
14,,,0.3,0.26021318680392724,0.4177215189873418,1.1011876538539767,0.9052320675679688,,0.9891177613680527,0.6459762207099807,1.0006781193490055,99,43,41,97,0.7071428571428572,0.5051020408163265,0.5892857142857143,barabasi_albert_graph100,False
15,,,0.4,0.33317417861080917,0.39147286821705424,1.2909519154717424,0.9008344307973741,,0.9935872522347455,0.6261758757477027,1.0063783125190375,101,68,62,95,0.6196319018404908,0.5153061224489796,0.5626740947075209,barabasi_albert_graph100,False
16,,,0.5,0.43635708391576344,0.3470790378006873,1.272109500558251,0.8876658151636437,,1.0,0.7768531650615205,0.9825617885345094,101,101,95,95,0.5153061224489796,0.5153061224489796,0.5153061224489796,barabasi_albert_graph100,False
17,,,0.1,0.03324083066133847,0.24378109452736318,1.1134519838140307,0.8799969574907937,,0.9724057520404198,0.4049616665769738,1.0002111189303309,49,5,5,49,0.9074074074074074,0.5,0.6447368421052632,barabasi_albert_graph100,False
18,,,0.2,0.03377961824427902,0.22380952380952382,1.2165576738096655,0.869899314955109,,0.9737660318694131,0.3874552688366487,0.9970375246872943,47,10,14,51,0.7704918032786885,0.47959183673469385,0.5911949685534591,barabasi_albert_graph100,False
19,,,0.3,0.08908381713817111,0.2372093023255814,1.159061827810256,0.8634396021033898,,0.975514963078119,0.3876144524242763,0.9695467797508615,51,23,19,47,0.7285714285714285,0.5204081632653061,0.6071428571428571,barabasi_albert_graph100,False
20,,,0.4,0.054041083591390184,0.21397379912663755,0.9823577436172521,0.8744098268186414,,0.9778468713563934,0.4100776391995382,0.9801332778009163,49,31,33,50,0.5975609756097561,0.494949494949495,0.5414364640883977,barabasi_albert_graph100,False
21,,,0.5,0.18440480342721458,0.20491803278688525,1.2921533407614212,0.8844857633299588,,0.9809560823940924,0.42671414673428615,0.9771952817824379,50,49,48,49,0.5102040816326531,0.5050505050505051,0.5076142131979695,barabasi_albert_graph100,False
22,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,barabasi_albert_graph100,False
