,filter,benchmark,noise_level,information_retention,jaccard,average_degree_original,average_degree_filtered,average_clustering_original,average_clustering_filtered,average_path_length_original,average_path_length_filtered,diameter_original,diameter_filtered,average_betweenness_original,average_betweenness_filtered,average_closeness_original,average_closeness_filtered,global_efficiency_original,global_efficiency_filtered,degree_assortativity_original,degree_assortativity_filtered,density_original,density_filtered,transitivity_original,transitivity_filtered,degree_variance_original,degree_variance_filtered,maximum_degree_original,maximum_degree_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
3980,random_edge_sparsifier,bench_structural_noise_filtering,0.4,0.0650418787197073,0.3937777777777778,13.571428571428571,11.317460317460318,0.3052276461935643,0.1318586904629215,,2.265396825396825,,4.0,0.0102601126472094,0.0102048131080389,0.4236658913747585,0.443778259482803,0.4725735449734979,0.4862010582010158,0.0926019292532849,-0.0095295219878045,0.1085714285714285,0.0905396825396825,0.2622841965471447,0.1262251972268706,44.53061224489796,16.026203073822124,32,22,443,6750,270,412,0.6213183730715287,0.5181286549707602,0.5650510204081632,0.294284173212177,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3981,random_edge_sparsifier,bench_structural_noise_filtering,0.5,0.0471005454259601,0.3485804416403785,13.571428571428571,13.571428571428571,0.3052276461935643,0.1211568561318414,,2.1206349206349207,,4.0,0.0102601126472094,0.0090373783922171,0.4236658913747585,0.4738403859273979,0.4725735449734979,0.5161058201057881,0.0926019292532849,0.0245394350384109,0.1085714285714285,0.1085714285714285,0.2622841965471447,0.1251567594682718,44.53061224489796,19.244897959183675,32,24,442,6607,413,413,0.5169590643274854,0.5169590643274854,0.5169590643274854,0.3238655413730965,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3982,simmelian_sparsifier,bench_net2net_filtering,,0.0001783180090304,0.3323581041544763,27.126984126984127,9.015873015873016,0.5759076430286777,0.6109370812944206,1.948063492063492,3.6585396825396823,4.0,8.0,0.0076456733230926,0.0214398361495135,0.5202290818631112,0.2790216433705847,0.5810899470899511,0.3545407407407215,0.0828713534518043,-0.3337112956016231,0.217015873015873,0.0721269841269841,0.5216527100395694,0.347860227718885,153.71403376165287,49.01562106324011,55,35,568,6166,0,1141,1.0,0.3323581041544763,0.4989020641194554,0.3806427312965386,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3983,simmelian_sparsifier,bench_noise_filtering,0.1,5.240923097034943e-05,0.3228985507246377,27.126984126984127,9.095238095238097,0.5759076430286777,0.5953770487708586,1.948063492063492,3.318984126984127,4.0,6.0,0.0076456733230926,0.0187014848950332,0.5202290818631112,0.3042181027431512,0.5810899470899511,0.372057142857108,0.0828713534518043,-0.3496076604627826,0.217015873015873,0.0727619047619047,0.5216527100395694,0.3342245989304813,153.71403376165287,51.03854875283448,55,37,557,6150,16,1152,0.9720767888307156,0.3259215915740199,0.488168273444347,0.3851200596144796,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3984,simmelian_sparsifier,bench_noise_filtering,0.2,2.5905151582684915e-05,0.3194925028835063,27.126984126984127,9.19047619047619,0.5759076430286777,0.5819555404681072,1.948063492063492,3.017777777777778,4.0,6.0,0.0076456733230926,0.0162724014336917,0.5202290818631112,0.3358794182847579,0.5810899470899511,0.3946285714285522,0.0828713534518043,-0.3575335494886232,0.217015873015873,0.0735238095238095,0.5216527100395694,0.318450184501845,153.71403376165287,53.77324263038548,55,39,554,6141,25,1155,0.9568221070811744,0.3241661790520772,0.4842657342657342,0.3870933606266966,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3985,simmelian_sparsifier,bench_noise_filtering,0.3,9.504950453277564e-06,0.3083094555873925,27.126984126984127,9.11111111111111,0.5759076430286777,0.5243250840875819,1.948063492063492,2.8714920634920635,4.0,5.0,0.0076456733230926,0.0150926779313876,0.5202290818631112,0.3523380936716758,0.5810899470899511,0.4075449735449475,0.0828713534518043,-0.3345394595636193,0.217015873015873,0.0728888888888888,0.5216527100395694,0.3023194863058577,153.71403376165287,47.22574955908287,55,40,538,6130,36,1171,0.9372822299651568,0.3148039789350497,0.4713096802452913,0.391496923704186,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3986,simmelian_sparsifier,bench_noise_filtering,0.4,6.38725611580503e-06,0.2891022021456804,27.126984126984127,9.11111111111111,0.5759076430286777,0.4845531674625538,1.948063492063492,2.667809523809524,4.0,5.0,0.0076456733230926,0.0134500768049155,0.5202290818631112,0.3796402056179219,0.5810899470899511,0.4285523809523454,0.0828713534518043,-0.3022422033919617,0.217015873015873,0.0728888888888888,0.5216527100395694,0.2683267691525854,153.71403376165287,51.035273368606695,55,42,512,6104,62,1197,0.89198606271777,0.29959040374488,0.448532632501095,0.3998412383346869,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3987,simmelian_sparsifier,bench_noise_filtering,0.5,5.511169488566486e-05,0.2609176340519624,27.126984126984127,9.07936507936508,0.5759076430286777,0.4366068534936064,1.948063492063492,2.517206349206349,4.0,5.0,0.0076456733230926,0.0122355350742447,0.5202290818631112,0.4011701104878163,0.5810899470899511,0.4449693121692709,0.0828713534518043,-0.3581228974110048,0.217015873015873,0.0726349206349206,0.5216527100395694,0.2303671437461107,153.71403376165287,54.18417737465356,55,44,472,6066,100,1237,0.8251748251748252,0.2761849034523113,0.4138535729943007,0.4120409904096652,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3988,simmelian_sparsifier,bench_structural_noise_filtering,0.1,0.5518618788826287,0.9513888888888888,9.015873015873016,8.825396825396826,0.6109370812944206,0.6040788796336464,3.6585396825396823,3.86984126984127,8.0,8.0,0.0214398361495135,0.0231438812083973,0.2790216433705847,0.2640555258162301,0.3545407407407215,0.3455083900226495,-0.3337112956016231,-0.3195029070584702,0.0721269841269841,0.0706031746031746,0.347860227718885,0.3463441451346893,49.01562106324011,46.42983119173596,35,35,548,7299,8,20,0.9856115107913668,0.9647887323943662,0.9750889679715302,0.0596284793999943,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3989,simmelian_sparsifier,bench_structural_noise_filtering,0.2,0.175806816711067,0.9212328767123288,9.015873015873016,8.793650793650794,0.6109370812944206,0.6169518371192666,3.6585396825396823,3.8685714285714288,8.0,8.0,0.0214398361495135,0.0231336405529953,0.2790216433705847,0.2641278775450591,0.3545407407407215,0.3454639455782053,-0.3337112956016231,-0.3128327982300431,0.0721269841269841,0.0703492063492063,0.347860227718885,0.3501945525291828,49.01562106324011,45.68757873519778,35,35,538,7291,16,30,0.9711191335740073,0.9471830985915493,0.9590017825311944,0.0764282005628147,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3990,simmelian_sparsifier,bench_structural_noise_filtering,0.3,0.2008794025625554,0.88107202680067,9.015873015873016,8.80952380952381,0.6109370812944206,0.6267548931203265,3.6585396825396823,3.417015873015873,8.0,6.0,0.0214398361495135,0.0194920634920634,0.2790216433705847,0.2951496339927764,0.3545407407407215,0.3634582010581649,-0.3337112956016231,-0.3240701512305264,0.0721269841269841,0.0704761904761904,0.347860227718885,0.3488563210519107,49.01562106324011,47.09070294784583,35,35,526,7278,29,42,0.9477477477477476,0.926056338028169,0.9367764915405165,0.0949519510903963,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3991,simmelian_sparsifier,bench_structural_noise_filtering,0.4,0.1629336471654915,0.8341463414634146,9.015873015873016,8.88888888888889,0.6109370812944206,0.6216335495455892,3.6585396825396823,3.182730158730158,8.0,6.0,0.0214398361495135,0.0176026625704045,0.2790216433705847,0.3172956115601421,0.3545407407407215,0.379822222222199,-0.3337112956016231,-0.3393971406240559,0.0721269841269841,0.0711111111111111,0.347860227718885,0.3421296910224108,49.01562106324011,49.57495590828925,35,35,513,7260,47,55,0.9160714285714284,0.903169014084507,0.9095744680851064,0.1138085275907783,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3992,simmelian_sparsifier,bench_structural_noise_filtering,0.5,0.0921122190733889,0.7804107424960506,9.015873015873016,8.873015873015873,0.6109370812944206,0.6007679235883256,3.6585396825396823,2.9225396825396825,8.0,5.0,0.0214398361495135,0.0155043522785458,0.2790216433705847,0.3458044142288896,0.3545407407407215,0.4010984126983887,-0.3337112956016231,-0.3507031382220499,0.0721269841269841,0.0709841269841269,0.347860227718885,0.3242392444910808,49.01562106324011,51.15847820609727,35,37,494,7242,65,74,0.8837209302325582,0.8697183098591549,0.8766637089618456,0.1328562894664518,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3993,overlapping_trees,bench_net2net_filtering,,4.370463411995028e-08,0.2018724400234055,27.126984126984127,5.571428571428571,0.5759076430286777,0.0948743055885912,1.948063492063492,3.199873015873016,4.0,6.0,0.0076456733230926,0.0177409114183307,0.5202290818631112,0.3155169517364837,0.5810899470899511,0.357375661375638,0.0828713534518043,-0.1163997263915964,0.217015873015873,0.0445714285714285,0.5216527100395694,0.0698757763975155,153.71403376165287,5.1972789115646245,55,13,339,6166,0,1370,1.0,0.1983616149795201,0.3310546875,0.4170950179134893,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3994,overlapping_trees,bench_noise_filtering,0.1,6.832245148055354e-08,0.1701884637350085,27.126984126984127,5.396825396825397,0.5759076430286777,0.072152803105184,1.948063492063492,3.0712380952380958,4.0,6.0,0.0076456733230926,0.0167035330261136,0.5202290818631112,0.3279172005943576,0.5810899470899511,0.3657481481481249,0.0828713534518043,-0.1308677386291355,0.217015873015873,0.0431746031746031,0.5216527100395694,0.0687397708674304,153.71403376165287,5.366339128243889,55,13,298,6124,42,1411,0.8764705882352941,0.1743709771796372,0.2908735968765251,0.429543870294917,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3995,overlapping_trees,bench_noise_filtering,0.2,6.690952327951641e-08,0.1613265879707701,27.126984126984127,5.666666666666667,0.5759076430286777,0.0780039625277719,1.948063492063492,3.0375873015873016,4.0,6.0,0.0076456733230926,0.0164321556579621,0.5202290818631112,0.3311025259064543,0.5810899470899511,0.3697058201057975,0.0828713534518043,-0.0299505526674067,0.217015873015873,0.0453333333333333,0.5216527100395694,0.0718002081165452,153.71403376165287,4.063492063492062,55,12,287,6096,70,1422,0.803921568627451,0.1679344645991808,0.2778315585672797,0.4352703958004926,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3996,overlapping_trees,bench_noise_filtering,0.3,4.34167090847518e-08,0.1209983722192078,27.126984126984127,5.666666666666667,0.5759076430286777,0.0659554730983302,1.948063492063492,2.954285714285714,4.0,5.0,0.0076456733230926,0.0157603686635944,0.5202290818631112,0.3401759411896938,0.5810899470899511,0.377335449735422,0.0828713534518043,-0.063192684682846,0.217015873015873,0.0453333333333333,0.5216527100395694,0.0554675118858954,153.71403376165287,3.6031746031746033,55,12,223,6032,134,1486,0.6246498599439776,0.1304856641310708,0.2158760890609874,0.4535573676110727,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3997,overlapping_trees,bench_noise_filtering,0.4,6.697717862229062e-08,0.1077747989276139,27.126984126984127,5.666666666666667,0.5759076430286777,0.0440617583474726,1.948063492063492,2.957968253968254,4.0,6.0,0.0076456733230926,0.0157900665642601,0.5202290818631112,0.3402479130390217,0.5810899470899511,0.3773925925925646,0.0828713534518043,-0.0225887394220877,0.217015873015873,0.0453333333333333,0.5216527100395694,0.0429887410440122,153.71403376165287,4.571428571428572,55,13,201,6010,156,1508,0.5630252100840336,0.1176126389701579,0.1945788964181994,0.4596755239313784,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3998,overlapping_trees,bench_noise_filtering,0.5,4.425920509079926e-08,0.0943595150237216,27.126984126984127,5.825396825396825,0.5759076430286777,0.0500062988158226,1.948063492063492,2.900952380952381,4.0,5.0,0.0076456733230926,0.0153302611367127,0.5202290818631112,0.3464836560542141,0.5810899470899511,0.3834433862433559,0.0828713534518043,-0.1209714114218776,0.217015873015873,0.0466031746031746,0.5216527100395694,0.0471050049067713,153.71403376165287,4.239355001259764,55,11,179,5978,188,1530,0.4877384196185286,0.1047396138092451,0.1724470134874759,0.4670746515908674,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
3999,overlapping_trees,bench_structural_noise_filtering,0.1,0.3793894948106682,0.6413043478260869,5.571428571428571,4.095238095238095,0.0993982208267922,0.0440533452438214,3.13536507936508,3.649650793650794,6.0,7.0,0.0172206861239119,0.0213681515616999,0.3221842266576386,0.2764621839738152,0.3621523809523574,0.3136275132274958,-0.0616362838394759,-0.1818472355385107,0.0445714285714285,0.0327619047619047,0.0790273556231003,0.0449101796407185,5.863945578231291,3.229024943310657,14,11,232,7508,23,112,0.9098039215686274,0.6744186046511628,0.7746243739565943,0.1309307341415954,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
4000,overlapping_trees,bench_structural_noise_filtering,0.2,0.7838488327242525,0.5219512195121951,5.412698412698413,4.285714285714286,0.1132973728211822,0.0533790724266914,3.2143492063492065,3.503746031746032,6.0,6.0,0.0178576548899129,0.0201915002560163,0.3140842046929543,0.287857245422539,0.3551365079364844,0.3238645502645338,-0.0659474068254663,-0.0530007819312739,0.0433015873015873,0.0342857142857142,0.0958310774228478,0.0444033302497687,5.432854623330814,3.077097505668936,12,13,214,7475,56,130,0.7925925925925926,0.622093023255814,0.6970684039087948,0.153684897172909,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
4001,overlapping_trees,bench_structural_noise_filtering,0.3,0.5054400393460317,0.4941451990632318,5.317460317460317,4.523809523809524,0.1282075508265984,0.0857858631668155,3.2204444444444444,3.4176507936507936,6.0,6.0,0.0179068100358422,0.0194971838197644,0.3132170888592468,0.2946890910020901,0.3530687830687607,0.331559788359773,-0.1051010367874813,-0.0921176165078619,0.0425396825396825,0.0361904761904761,0.103161397670549,0.0757575757575757,5.661123708742758,2.916099773242629,14,11,204,7450,87,134,0.7010309278350515,0.6035502958579881,0.6486486486486487,0.1675216167051048,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
4002,overlapping_trees,bench_structural_noise_filtering,0.4,0.3347727371208481,0.4013157894736842,5.619047619047619,4.777777777777778,0.0814600743172171,0.0294973544973545,3.1553015873015875,3.258412698412698,6.0,6.0,0.0173814644137224,0.0182130056323604,0.319661663177532,0.3085091090211512,0.3610793650793414,0.3452867724867552,-0.1233685431072273,-0.1243882103002052,0.0449523809523809,0.0382222222222222,0.073170731707317,0.0325077399380804,5.283446712018142,2.4585537918871254,14,8,178,7399,124,174,0.5894039735099338,0.5056818181818182,0.5443425076452599,0.1945283265780843,"High_school_dynamic_contact_networks_contact_list,_2011_real_nets",False
