filter,benchmark,noise_level,information_retention,jaccard,degree_assortativity_original,degree_assortativity_filtered,average_clustering_original,average_clustering_filtered,average_shortest_path_length_original,average_shortest_path_length_filtered,density_original,density_filtered,average_degree_connectivity_original,average_degree_connectivity_filtered,transitivity_original,transitivity_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
threshold,bench_structural_noise_filtering,0.3,0.7845610168664909,0.7005163511187608,0.011051276456469136,-0.027752904287795938,0.13799999999999982,0.08565178571428576,,,0.0025469336670838547,0.003635794743429287,2.125008100966702,3.065406710378154,0.19173811379579112,0.08430913348946135,814,318438,348,0,0.7005163511187608,1.0,0.8238866396761133,0.03299789502900801,watts_strogatz_graph800,True
threshold,bench_structural_noise_filtering,0.4,0.618958145461439,0.6002949852507374,0.011051276456469136,0.004829915505296184,0.13799999999999982,0.06143452380952384,,,0.0025469336670838547,0.004242803504380476,2.125008100966702,3.6112653600245856,0.19173811379579112,0.06093189964157706,814,318244,542,0,0.6002949852507374,1.0,0.7502304147465437,0.041180940218705796,watts_strogatz_graph800,True
threshold,bench_structural_noise_filtering,0.5,0.4275442048762327,0.5,0.011051276456469136,0.008867427385460645,0.13799999999999982,0.044846951659451684,,,0.0025469336670838547,0.005093867334167709,2.125008100966702,4.38879337973204,0.19173811379579112,0.04245738179478932,814,317972,814,0,0.5,1.0,0.6666666666666666,0.050467154339073395,watts_strogatz_graph800,True
disparity_filter,bench_noise_filtering,0.1,2.5133394828215744e-10,0.012484394506866416,-0.01794948154966483,,0.3822738095238096,0.0,8.504424280350438,,0.0050062578222778474,6.88360450563204e-05,4.102623477894209,0.5,0.35941912061315046,0.0,20,317998,2,1580,0.9090909090909091,0.0125,0.02466091245376079,0.07035579167188172,watts_strogatz_graph800,True
disparity_filter,bench_noise_filtering,0.2,2.917313687719341e-10,0.011845386533665835,-0.01794948154966483,-0.09523809523809657,0.3822738095238096,0.0,8.504424280350438,,0.0050062578222778474,7.196495619524405e-05,4.102623477894209,0.6984126984126985,0.35941912061315046,0.0,19,317996,4,1581,0.8260869565217391,0.011875,0.02341343191620456,0.07042246910748012,watts_strogatz_graph800,True
disparity_filter,bench_noise_filtering,0.3,2.8996736185877064e-10,0.011852776044915784,-0.01794948154966483,-0.04761904761904855,0.3822738095238096,0.0,8.504424280350438,,0.0050062578222778474,6.88360450563204e-05,4.102623477894209,0.6825396825396824,0.35941912061315046,0.0,19,317997,3,1581,0.8636363636363636,0.011875,0.02342786683107275,0.07040025031244611,watts_strogatz_graph800,True
disparity_filter,bench_noise_filtering,0.4,2.899673618560211e-10,0.011235955056179775,-0.01794948154966483,-0.052631578947369966,0.3822738095238096,0.0,8.504424280350438,,0.0050062578222778474,6.257822277847309e-05,4.102623477894209,0.6842105263157894,0.35941912061315046,0.0,18,317998,2,1582,0.9,0.01125,0.022222222222222223,0.07040025031244611,watts_strogatz_graph800,True
disparity_filter,bench_noise_filtering,0.5,2.899673618545294e-10,0.008722741433021807,-0.01794948154966483,-0.05555555555555795,0.3822738095238096,0.0,8.504424280350438,,0.0050062578222778474,5.944931163954944e-05,4.102623477894209,0.6851851851851851,0.35941912061315046,0.0,14,317995,5,1586,0.7368421052631579,0.00875,0.017294626312538603,0.07055563494170777,watts_strogatz_graph800,True
disparity_filter,bench_net2net_filtering,,2.8996736186125436e-10,0.015,-0.01794948154966483,-0.043478260869566625,0.3822738095238096,0.0,8.504424280350438,,0.0050062578222778474,7.509386733416771e-05,4.102623477894209,0.6811594202898551,0.35941912061315046,0.0,24,318000,0,1576,1.0,0.015,0.029556650246305417,0.07022224686624375,watts_strogatz_graph800,True
disparity_filter,bench_structural_noise_filtering,0.1,0.32327414046914277,0.0,-0.043478260869566625,,0.0,,,,7.509386733416771e-05,,0.6811594202898551,,0.0,,0,319576,0,24,0.0,0.0,0.0,0.008665671776277226,watts_strogatz_graph800,True
disparity_filter,bench_structural_noise_filtering,0.2,0.32327414046914277,0.0,-0.043478260869566625,,0.0,,,,7.509386733416771e-05,,0.6811594202898551,,0.0,,0,319576,0,24,0.0,0.0,0.0,0.008665671776277226,watts_strogatz_graph800,True
disparity_filter,bench_structural_noise_filtering,0.3,0.32327414046914277,0.0,-0.043478260869566625,,0.0,,,,7.509386733416771e-05,,0.6811594202898551,,0.0,,0,319576,0,24,0.0,0.0,0.0,0.008665671776277226,watts_strogatz_graph800,True
disparity_filter,bench_structural_noise_filtering,0.4,0.32327414046914277,0.0,-0.043478260869566625,,0.0,,,,7.509386733416771e-05,,0.6811594202898551,,0.0,,0,319576,0,24,0.0,0.0,0.0,0.008665671776277226,watts_strogatz_graph800,True
