filter,benchmark,noise_level,information_retention,jaccard,average_betweenness_original,average_betweenness_filtered,average_degree_original,average_degree_filtered,average_clustering_original,average_clustering_filtered,average_path_length_original,average_path_length_filtered,diameter_original,diameter_filtered,average_closeness_original,average_closeness_filtered,global_efficiency_original,global_efficiency_filtered,degree_assortativity_original,degree_assortativity_filtered,density_original,density_filtered,transitivity_original,transitivity_filtered,degree_variance_original,degree_variance_filtered,maximum_degree_original,maximum_degree_filtered,true_positive,true_negative,false_positive,false_negative,precision,recall,f1_score,RMSE,filename,weighted
local_degree_sparsifier,bench_noise_filtering,0.1,0.0095582229362468,0.5512820512820513,0.0491596638655462,0.0067226890756302,4.333333333333333,2.388888888888889,0.0,0.0,2.6714285714285717,,4.0,,0.3890058562413764,0.1280364013191803,0.4542328042328032,0.1465608465608467,-0.6972329559272562,-0.5529876977152897,0.1238095238095238,0.0682539682539682,0.0,0.0,17.11111111111111,9.293209876543212,15,11,43,552,0,35,1.0,0.5512820512820513,0.7107438016528925,0.2357022603955158,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
local_degree_sparsifier,bench_noise_filtering,0.2,1.4598124229292165e-06,0.5,0.0491596638655462,0.0029878618113912,4.333333333333333,2.6666666666666665,0.0,0.0632716049382716,2.6714285714285717,,4.0,,0.3890058562413764,0.1049800706116495,0.4542328042328032,0.1195767195767195,-0.6972329559272562,-0.3162547357026866,0.1238095238095238,0.0761904761904762,0.0,0.151624548736462,17.11111111111111,10.944444444444445,15,9,42,546,6,36,0.875,0.5384615384615384,0.6666666666666666,0.2581988897471611,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
local_degree_sparsifier,bench_noise_filtering,0.3,0.0001429057000363,0.4943820224719101,0.0491596638655462,0.0054154995331465,4.333333333333333,3.055555555555556,0.0,0.0847081930415263,2.6714285714285717,,4.0,,0.3890058562413764,0.1410064510347836,0.4542328042328032,0.1603174603174604,-0.6972329559272562,-0.4027331189710617,0.1238095238095238,0.0873015873015873,0.0,0.158357771260997,17.11111111111111,12.66358024691358,15,11,44,541,11,34,0.8,0.5641025641025641,0.6616541353383458,0.2672612419124244,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
local_degree_sparsifier,bench_noise_filtering,0.4,0.0422008820913841,0.4742268041237113,0.0491596638655462,0.0099906629318394,4.333333333333333,3.611111111111111,0.0,0.1282908449575116,2.6714285714285717,,4.0,,0.3890058562413764,0.1953797003868559,0.4542328042328032,0.222222222222222,-0.6972329559272562,-0.2413934426229511,0.1238095238095238,0.1031746031746031,0.0,0.2441860465116279,17.11111111111111,14.45987654320988,15,11,46,533,19,32,0.7076923076923077,0.5897435897435898,0.6433566433566433,0.2845213189769458,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
local_degree_sparsifier,bench_noise_filtering,0.5,9.165011068208566e-06,0.4444444444444444,0.0491596638655462,0.0053688141923436,4.333333333333333,4.333333333333333,0.0,0.2021381396381396,2.6714285714285717,,4.0,,0.3890058562413764,0.1895014941141877,0.4542328042328032,0.2119047619047618,-0.6972329559272562,-0.1493636972538526,0.1238095238095238,0.1238095238095238,0.0,0.3624161073825503,17.11111111111111,18.666666666666668,15,14,48,522,30,30,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.3086066999241838,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
local_degree_sparsifier,bench_structural_noise_filtering,0.1,0.0059153765873767,0.5384615384615384,0.0070961718020541,0.0013071895424836,2.1666666666666665,1.1666666666666667,0.0,0.0,,,,,0.1247936830597768,0.0449293563579277,0.1423280423280424,0.0513227513227513,-0.5650406504065035,-0.4237288135593218,0.0619047619047619,0.0333333333333333,0.0,0.0,8.305555555555559,3.9166666666666665,11,5,21,591,0,18,1.0,0.5384615384615384,0.7,0.1690308509457033,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
local_degree_sparsifier,bench_structural_noise_filtering,0.2,0.3211496519836336,0.6153846153846154,0.0070961718020541,0.0025210084033613,2.1666666666666665,1.3333333333333333,0.0,0.0,,,,,0.1247936830597768,0.059270875729209,0.1423280423280424,0.0682539682539682,-0.5650406504065035,-0.5308641975308644,0.0619047619047619,0.0380952380952381,0.0,0.0,8.305555555555559,4.555555555555555,11,6,24,591,0,15,1.0,0.6153846153846154,0.7619047619047619,0.1543033499620919,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
local_degree_sparsifier,bench_structural_noise_filtering,0.3,0.0120720822806428,0.65,0.0070961718020541,0.0014472455648926,2.1666666666666665,1.5,0.0,0.0,,,,,0.1247936830597768,0.0565226090436174,0.1423280423280424,0.0642857142857142,-0.5650406504065035,-0.5211267605633787,0.0619047619047619,0.0428571428571428,0.0,0.0,8.305555555555559,5.416666666666667,11,6,26,590,1,13,0.9629629629629628,0.6666666666666666,0.7878787878787878,0.1490711984999859,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
local_degree_sparsifier,bench_structural_noise_filtering,0.4,0.0118485182082187,0.7317073170731707,0.0070961718020541,0.0017740429505135,2.1666666666666665,1.7777777777777777,0.0,0.0,,,,,0.1247936830597768,0.0671858465608465,0.1423280423280424,0.0767195767195767,-0.5650406504065035,-0.2857142857142857,0.0619047619047619,0.0507936507936507,0.0,0.0,8.305555555555559,6.617283950617284,11,6,30,589,2,9,0.9375,0.7692307692307693,0.8450704225352113,0.1321374945286819,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
local_degree_sparsifier,bench_structural_noise_filtering,0.5,0.0310255629527353,0.6595744680851063,0.0070961718020541,0.0026143790849673,2.1666666666666665,2.1666666666666665,0.0,0.0806878306878307,,,,,0.1247936830597768,0.0904143232110432,0.1423280423280424,0.1021164021164021,-0.5650406504065035,-0.2534435261707965,0.0619047619047619,0.0619047619047619,0.0,0.1363636363636363,8.305555555555559,8.472222222222225,11,8,31,583,8,8,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.1593638145779191,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
random_edge_sparsifier,bench_noise_filtering,0.1,0.0173179643424121,0.4578313253012048,0.0491596638655462,0.0394491129785247,4.333333333333333,2.388888888888889,0.0,0.0648148148148148,2.6714285714285717,,4.0,,0.3890058562413764,0.2442324208609747,0.4542328042328032,0.2855820105820095,-0.6972329559272562,-0.3754760091393753,0.1238095238095238,0.0682539682539682,0.0,0.0410958904109589,17.11111111111111,4.79320987654321,15,8,38,547,5,40,0.8837209302325582,0.4871794871794871,0.628099173553719,0.2672612419124244,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
random_edge_sparsifier,bench_noise_filtering,0.2,0.0277198903931282,0.4767441860465116,0.0491596638655462,0.0567226890756302,4.333333333333333,2.7222222222222223,0.0,0.1026936026936027,2.6714285714285717,,4.0,,0.3890058562413764,0.2926223139171987,0.4542328042328032,0.3480612244897938,-0.6972329559272562,-0.3210358283079105,0.1238095238095238,0.0777777777777777,0.0,0.05,17.11111111111111,5.311728395061729,15,12,41,544,8,37,0.8367346938775511,0.5256410256410257,0.6456692913385826,0.2672612419124244,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
random_edge_sparsifier,bench_noise_filtering,0.3,0.0259450086759789,0.3673469387755102,0.0491596638655462,0.0447712418300653,4.333333333333333,3.111111111111111,0.0,0.0942680776014109,2.6714285714285717,,4.0,,0.3890058562413764,0.3060365274190326,0.4542328042328032,0.3593121693121671,-0.6972329559272562,-0.3207146110633134,0.1238095238095238,0.0888888888888888,0.0,0.0753768844221105,17.11111111111111,4.487654320987654,15,10,36,532,20,42,0.6428571428571429,0.4615384615384615,0.5373134328358209,0.3137079827047734,Aishihik_Lake_host-parasite_web_Aishihik_Lake_host-parasite_web_real_nets,False
